html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-unfulfilled-career-of-linda-hargrove"">Linda Hargrove: The Unfulfilled Career of Linda Hargrove…</a></p>
<p>Profile by Martin Hawkins, <i>Country Music Review</i>, June 1977</p>
<p class=""excerpt"">EVER SINCE I last invested my year's savings in a visit to Music City and other musical areas of America, I have been meaning to ...</p>
</div>",/Library/Article/the-unfulfilled-career-of-linda-hargrove,The Unfulfilled Career of Linda Hargrove…,Martin Hawkins,Country Music Review,Profile,June 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/crystal-gayle-shes-more-than-a-little-sister"">Crystal Gayle: She's more than a little sister</a></p>
<p>Interview by Philip Elwood, <i>The San Francisco Examiner</i>, 17 September 1977</p>
<p class=""excerpt"">OVER THE last few years, as her own star has been rising high over the country music scene, singer Crystal Gayle has learned to live ...</p>
</div>",/Library/Article/crystal-gayle-shes-more-than-a-little-sister,She's more than a little sister,Philip Elwood,The San Francisco Examiner,Interview,17 September 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/don-williams-icountry-boyi-abc"">Don Williams: <i>Country Boy</i> (ABC)</a></p>
<p>Review by Colin Irwin, <i>Melody Maker</i>, 15 October 1977</p>
<p class=""excerpt"">NOW LET'S get this straight from the outset. I'm a Don Williams fan of considerable ardour, and all the disappointments felt with this album are ...</p>
</div>",/Library/Article/don-williams-icountry-boyi-abc,Country Boy (ABC),Colin Irwin,Melody Maker,Review,15 October 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/kenny-rogers-crystal-gayle-national-stadium-dublin"">Kenny Rogers, Crystal Gayle: National Stadium, Dublin</a></p>
<p>Live Review by Barry Cain, <i>Record Mirror</i>, 12 November 1977</p>
<p class=""excerpt"">COUNTRY SINGERS make me puke. ...</p>
</div>",/Library/Article/kenny-rogers-crystal-gayle-national-stadium-dublin,"National Stadium, Dublin",Barry Cain,Record Mirror,Live Review,12 November 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-ihere-you-come-againi-rca-victor-porter-wagoner-iporteri-rca-victor"">Dolly Parton, Porter Wagoner: Dolly Parton: <i>Here You Come Again</i> (RCA Victor); Porter Wagoner: <i>Porter</i> (RCA Victor)</a></p>
<p>Review by John Morthland, <i>The Village Voice</i>, 14 November 1977</p>
<p class=""excerpt"">Porter and Dolly Go Their Own Ways ...</p>
</div>",/Library/Article/dolly-parton-ihere-you-come-againi-rca-victor-porter-wagoner-iporteri-rca-victor,Dolly Parton: Here You Come Again (RCA Victor); Porter Wagoner: Porter (RCA Victor),John Morthland,The Village Voice,Review,14 November 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/townes-van-zandt"">Townes Van Zandt</a></p>
<p>Interview by Richard Wootton, <i>Omaha Rainbow</i>, December 1977</p>
<p class=""excerpt"">TOWNES VAN ZANDT is no longer such a well kept secret, known only to a handful of dedicated fans. Thanks to his new manager and ...</p>
</div>",/Library/Article/townes-van-zandt,Townes Van Zandt,Richard Wootton,Omaha Rainbow,Interview,December 1977
"<div class=""article-listing"">
<p><a href=""/Library/Article/linda-ronstadt-female-vocalist-of-the-year"">Linda Ronstadt, Female Vocalist of the Year</a></p>
<p>Profile by John Swenson, <i>Circus</i>, 16 February 1978</p>
<p class=""excerpt"">At the top in Her Field, She Becomes an American Heroine ...</p>
</div>",/Library/Article/linda-ronstadt-female-vocalist-of-the-year,"Linda Ronstadt, Female Vocalist of the Year",John Swenson,Circus,Profile,16 February 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-jeff-rides-again-again"">Jerry Jeff Walker: Jerry Jeff Rides Again... Again</a></p>
<p>Profile and Interview by John Morthland, <i>Country Music</i>, March 1978</p>
<p class=""excerpt"">THEY SAY AROUND Austin that Jerry Jeff Walker can do no wrong, but whoo boy, does he ever give it his best shot. ...</p>
</div>",/Library/Article/jerry-jeff-rides-again-again,Jerry Jeff Rides Again... Again,John Morthland,Country Music,Profile and Interview,March 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/emmylou-harris-full-house-at-the-elite-hotel"">Emmylou Harris: Full House at the Elite Hotel</a></p>
<p>Interview by Fred Schruers, <i>Circus</i>, 16 March 1978</p>
<p class=""excerpt"">Emmylou Harris' Fourth LP Is a Grand and Seedy Selection ...</p>
</div>",/Library/Article/emmylou-harris-full-house-at-the-elite-hotel,Full House at the Elite Hotel,Fred Schruers,Circus,Interview,16 March 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelson-and-waylon-jennings-iwaylon--williei-rca"">Waylon Jennings, Willie Nelson: Willie Nelson and Waylon Jennings: <i>Waylon &amp; Willie</i> (RCA)</a></p>
<p>Review by Mitchell Cohen, <i>Creem</i>, April 1978</p>
<p class=""excerpt"">'PICK UP The Tempo' again. 'It's Not Supposed To Be That Way' again. Tracking these guys separately or in tandem means a hell of a ...</p>
</div>",/Library/Article/willie-nelson-and-waylon-jennings-iwaylon--williei-rca,Willie Nelson and Waylon Jennings: Waylon & Willie (RCA),Mitchell Cohen,Creem,Review,April 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/kris-kristofferson-young-blue-eyes-is-back"">Rita Coolidge, Kris Kristofferson: Kris Kristofferson: Young Blue Eyes is Back</a></p>
<p>Interview by Colin Irwin, <i>Melody Maker</i>, 8 April 1978</p>
<p class=""excerpt"">Kris Kristofferson was a hell-raiser. He also grabbed country music by the scruff of its neck and dragged it into the Seventies. Now he's to ...</p>
</div>",/Library/Article/kris-kristofferson-young-blue-eyes-is-back,Kris Kristofferson: Young Blue Eyes is Back,Colin Irwin,Melody Maker,Interview,8 April 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/waylon-jennings-jessi-colter-asleep-at-the-wheel-civic-center-lansing-mi"">Asleep at the Wheel, Waylon Jennings, Jessi Colter: Waylon Jennings, Jessi Colter, Asleep At The Wheel: Civic Center, Lansing MI</a></p>
<p>Live Review by Bill Holdship, <i>Michigan State News</i>, 12 July 1978</p>
<p class=""excerpt"">Ol' Waylon keeps 'outlaw' tradition ...</p>
</div>",/Library/Article/waylon-jennings-jessi-colter-asleep-at-the-wheel-civic-center-lansing-mi,"Waylon Jennings, Jessi Colter, Asleep At The Wheel: Civic Center, Lansing MI",Bill Holdship,Michigan State News,Live Review,12 July 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/hot-times-in-the-heart-of-texxas"">Aerosmith, Heart, Waylon Jennings, Mahogany Rush, Willie Nelson, Ted Nugent: Hot times in the heart of Texxas</a></p>
<p>Report by Joe Nick Patoski, <i>Rolling Stone</i>, 24 August 1978</p>
<p class=""excerpt"">IF ANYTHING was learned from the 105,000 fans who piled into the Cotton Bowl over the Fourth of July weekend for the two-day Texxas World ...</p>
</div>",/Library/Article/hot-times-in-the-heart-of-texxas,Hot times in the heart of Texxas,Joe Nick Patoski,Rolling Stone,Report,24 August 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/tammy-wynette-hammersmith-odeon-london-2"">Tammy Wynette: Hammersmith Odeon, London</a></p>
<p>Live Review by Colin Irwin, <i>Melody Maker</i>, 16 September 1978</p>
<p class=""excerpt"">SO ENTRENCHED is the tradition of slick showmanship and synthetic sincerity among buxom country goddesses that we should no longer be surprised or nauseated by ...</p>
</div>",/Library/Article/tammy-wynette-hammersmith-odeon-london-2,"Hammersmith Odeon, London",Colin Irwin,Melody Maker,Live Review,16 September 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/rick-nelson-high-sierra-theater-at-the-sahara-lake-tahoe"">Rick Nelson: High Sierra Theater at the Sahara, Lake Tahoe</a></p>
<p>Live Review by Joel Selvin, <i>San Francisco Chronicle</i>, 7 October 1978</p>
<p class=""excerpt"">THE CLUSTERS of signs reading ""Rick Nelson Now"" hanging in the Sahara Tahoe casino reveal the hand of Colonel Parker, the famed manager of Elvis ...</p>
</div>",/Library/Article/rick-nelson-high-sierra-theater-at-the-sahara-lake-tahoe,"High Sierra Theater at the Sahara, Lake Tahoe",Joel Selvin,San Francisco Chronicle,Live Review,7 October 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/interview-carl-perkins-october-31-1978-at-the-bijou-caf-philadelphia-pa"">Carl Perkins: Interview: Carl Perkins, October 31, 1978 at the Bijou Café, Philadelphia, Pa.</a></p>
<p>Interview by Peter Stone Brown, <i>unpublished</i>, 31 October 1978</p>
<p class=""excerpt"">THIS INTERVIEW took place backstage at the Bijou Café right before Carl Perkins was to do his first show in Philadelphia in years with a ...</p>
</div>",/Library/Article/interview-carl-perkins-october-31-1978-at-the-bijou-caf-philadelphia-pa,"Interview: Carl Perkins, October 31, 1978 at the Bijou Café, Philadelphia, Pa.",Peter Stone Brown,unpublished,Interview,31 October 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-confessions-of-a-power-crazed-wig-model"">Dolly Parton: Confessions of a Power Crazed Wig-Model</a></p>
<p>Interview by Colin Irwin, <i>Melody Maker</i>, 11 November 1978</p>
<p class=""excerpt"">'Ah'd like to think ah've ADDED to what I had before.' With these words, Dolly Parton struck COLIN IRWIN dumb. And she's writing a song ...</p>
</div>",/Library/Article/dolly-parton-confessions-of-a-power-crazed-wig-model,Confessions of a Power Crazed Wig-Model,Colin Irwin,Melody Maker,Interview,11 November 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-hammersmith-odeon-london"">Dolly Parton: Hammersmith Odeon, London</a></p>
<p>Live Review by Mick Brown, <i>The Guardian</i>, 21 November 1978</p>
<p class=""excerpt"">THE FIXATION on Dolly Parton's buxom outrageousness has evidently become so acute that nowadays even Ms Parton feels obliged to use it as a butt ...</p>
</div>",/Library/Article/dolly-parton-hammersmith-odeon-london,"Hammersmith Odeon, London",Mick Brown,The Guardian,Live Review,21 November 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/butch-hancock"">Flatlanders, The, Butch Hancock: Butch Hancock</a></p>
<p>Interview by Richard Wootton, <i>Omaha Rainbow</i>, Spring 1978</p>
<p class=""excerpt"">YOU HAVE four songs on Joe Ely's album; how did you get started into songwriting? ...</p>
</div>",/Library/Article/butch-hancock,Butch Hancock,Richard Wootton,Omaha Rainbow,Interview,Spring 1978
"<div class=""article-listing"">
<p><a href=""/Library/Article/audio-bill-monroe-1979"">AUDIO: Bill Monroe (1979)</a></p>
<p>Audio transcript of interview by Karl Dallas, <i>Rock's Backpages Audio</i>, 1979</p>
<p class=""excerpt"">This is a transcription of Karl's audio interview with Kentucky's bluegrass king. Hear the audio on the site here.  ...</p>
</div>",/Library/Article/audio-bill-monroe-1979,Bill Monroe (1979),Karl Dallas,Rock's Backpages Audio,Audio transcript of interview,1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/linda-ronstadt-the-forum-inglewood-ca"">Linda Ronstadt: The Forum, Inglewood CA</a></p>
<p>Live Review by Stephen K. Peeples, <i>LA Weekly</i>, 4 January 1979</p>
<p class=""excerpt"">Linda Ronstadt: Going Strong ...</p>
</div>",/Library/Article/linda-ronstadt-the-forum-inglewood-ca,"The Forum, Inglewood CA",Stephen K. Peeples,LA Weekly,Live Review,4 January 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/tanya-tucker-itnti-mca-mcg-3530-"">Tanya Tucker: <i>TNT</i> (MCA MCG 3530) ****½</a></p>
<p>Review by Sandy Robertson, <i>Sounds</i>, 17 February 1979</p>
<p class=""excerpt"">More rambling justifications for liking girls ...</p>
</div>",/Library/Article/tanya-tucker-itnti-mca-mcg-3530-,TNT (MCA MCG 3530) ****½,Sandy Robertson,Sounds,Review,17 February 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/tanya-tucker-yet-another-excuse-to-print-a-picture-of-a-young-girl-with-a-guitar"">Tanya Tucker: Yet Another Excuse To Print A Picture Of A Young Girl With A Guitar</a></p>
<p>Interview by Sandy Robertson, <i>Sounds</i>, 17 March 1979</p>
<p class=""excerpt"">WILL THE ICE remain unbroken? Shucks, these phone interviews are a pain (both for the artist and the journalist). I mean, it's not easy encapsulating ...</p>
</div>",/Library/Article/tanya-tucker-yet-another-excuse-to-print-a-picture-of-a-young-girl-with-a-guitar,Yet Another Excuse To Print A Picture Of A Young Girl With A Guitar,Sandy Robertson,Sounds,Interview,17 March 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/wembley-country-festival-the-metropolitan-soap-opera"">Sleepy LaBeef, Tammy Wynette, Dottsy, Hank Locklin, Freddie Hart: Wembley Country Festival: The Metropolitan Soap Opera</a></p>
<p>Report by Mary Harron, <i>Melody Maker</i>, 28 April 1979</p>
<p class=""excerpt"">Friendly and polite or mean and bigoted? Even transferred to North London, the country music audience reflects the ambiguous small-town mentality. MARY HARRON heard Tammy ...</p>
</div>",/Library/Article/wembley-country-festival-the-metropolitan-soap-opera,Wembley Country Festival: The Metropolitan Soap Opera,Mary Harron,Melody Maker,Report,28 April 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/loretta-lynn-iweve-come-a-long-way-babyi-mca-mcf-2881-conway-twitty-iconwayi-mca-mcf-2878"">Loretta Lynn, Conway Twitty: Loretta Lynn: <i>We've Come A Long Way, Baby</i> (MCA MCF 2881); Conway Twitty: <i>Conway</i> (MCA MCF 2878)</a></p>
<p>Review by Simon Frith, <i>Melody Maker</i>, 19 May 1979</p>
<p class=""excerpt"">WHEN YOU'RE as old and grizzled as these two, making records is more a chore than anything. The routine trip to producer Owen Bradley's barn; ...</p>
</div>",/Library/Article/loretta-lynn-iweve-come-a-long-way-babyi-mca-mcf-2881-conway-twitty-iconwayi-mca-mcf-2878,"Loretta Lynn: We've Come A Long Way, Baby (MCA MCF 2881); Conway Twitty: Conway (MCA MCF 2878)",Simon Frith,Melody Maker,Review,19 May 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/gary-stewart-igaryi-rca-ithe-best-of-don-williams-volume-iii-mca-waylon-jennings-igreatest-hitsi-rca"">Waylon Jennings, Gary Stewart, Don Williams: Gary Stewart: <i>Gary</i> (RCA); <i>The Best of Don Williams, Volume II</i> (MCA); Waylon Jennings: <i>Greatest Hits</i> (RCA)</a></p>
<p>Review by Dave Marsh, <i>Rolling Stone</i>, 26 July 1979</p>
<p class=""excerpt"">Been down so long, it looks like down to me ...</p>
</div>",/Library/Article/gary-stewart-igaryi-rca-ithe-best-of-don-williams-volume-iii-mca-waylon-jennings-igreatest-hitsi-rca,"Gary Stewart: Gary (RCA); The Best of Don Williams, Volume II (MCA); Waylon Jennings: Greatest Hits (RCA)",Dave Marsh,Rolling Stone,Review,26 July 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/merle-haggard-iserving-190-proofi-mca"">Merle Haggard: <i>Serving 190 Proof</i> (MCA)</a></p>
<p>Review by John Morthland, <i>Rolling Stone</i>, 6 September 1979</p>
<p class=""excerpt"">REMEMBER 'OKIE from Muskogee' and 'Fightin' Side of Me', the two Merle Haggard anthems that served as right-wing rallying cries during the volatile turn of ...</p>
</div>",/Library/Article/merle-haggard-iserving-190-proofi-mca,Serving 190 Proof (MCA),John Morthland,Rolling Stone,Review,6 September 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/don-williams-silence-is-golden"">Don Williams: Silence Is Golden</a></p>
<p>Interview by Colin Irwin, <i>Melody Maker</i>, 13 October 1979</p>
<p class=""excerpt"">THE FOYER of London's Royal Garden Hotel is an amusing monument to opulence. Arabs glide around as if they own the place, and they probably ...</p>
</div>",/Library/Article/don-williams-silence-is-golden,Silence Is Golden,Colin Irwin,Melody Maker,Interview,13 October 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones-imy-very-special-guestsi-epic-epc-83163"">George Jones: <i>My Very Special Guests</i> (Epic EPC 83163)***</a></p>
<p>Review by Sandy Robertson, <i>Sounds</i>, 8 December 1979</p>
<p class=""excerpt"">BABY, THIS is the Star Wars of country music. Well, maybe not, but it sure makes for an arresting opening sentence and the concept's a ...</p>
</div>",/Library/Article/george-jones-imy-very-special-guestsi-epic-epc-83163,My Very Special Guests (Epic EPC 83163)***,Sandy Robertson,Sounds,Review,8 December 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-eagles-boston-garden-boston"">Eagles, The: The Eagles: Boston Garden, Boston</a></p>
<p>Live Review by John Swenson, <i>Rolling Stone</i>, 13 December 1979</p>
<p class=""excerpt"">The Eagles: takin' it easy in Boston ...</p>
</div>",/Library/Article/the-eagles-boston-garden-boston,"The Eagles: Boston Garden, Boston",John Swenson,Rolling Stone,Live Review,13 December 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/guy-clark"">Guy Clark</a></p>
<p>Interview by Richard Wootton, <i>Omaha Rainbow</i>, Spring 1979</p>
<p class=""excerpt"">I WAS BORN in this tiny West Texas town called Honihans in 1940. Honihans was named after some Irishman who found the well there - ...</p>
</div>",/Library/Article/guy-clark,Guy Clark,Richard Wootton,Omaha Rainbow,Interview,Spring 1979
"<div class=""article-listing"">
<p><a href=""/Library/Article/jack-clement-everybody-loves-a-nut"">Jack Clement: ""Everybody Loves A Nut""</a></p>
<p>Profile and Interview by Martin Hawkins, <i>Country Music People</i>, January 1980</p>
<p class=""excerpt"">JACK CLEMENT could have written that song about himself. MARTIN HAWKINS investigates some of the reasons why. ...</p>
</div>",/Library/Article/jack-clement-everybody-loves-a-nut,"""Everybody Loves A Nut""",Martin Hawkins,Country Music People,Profile and Interview,January 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones-imy-very-special-guestsi-epic"">George Jones: <i>My Very Special Guests</i> (Epic)</a></p>
<p>Review by Max Bell, <i>New Musical Express</i>, 5 January 1980</p>
<p class=""excerpt"">A VETERAN OF over 50 albums, second cousin to the Nashville addiction, cheap booze, paid dues and bad blues, George Jones continues his flirtations with ...</p>
</div>",/Library/Article/george-jones-imy-very-special-guestsi-epic,My Very Special Guests (Epic),Max Bell,New Musical Express,Review,5 January 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-lee-lewis-killers-gospel"">Jerry Lee Lewis: Killer's Gospel</a></p>
<p>Interview by Mick Brown, <i>The Guardian</i>, 16 February 1980</p>
<p class=""excerpt"">Jerry Lee Lewis closes his current British tour in London at the Rainbow tonight. Mick Brown reports ...</p>
</div>",/Library/Article/jerry-lee-lewis-killers-gospel,Killer's Gospel,Mick Brown,The Guardian,Interview,16 February 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/merle-haggard-the-country-club-reseda-ca"">Merle Haggard: The Country Club, Reseda CA</a></p>
<p>Live Review by Mark Leviton, <i>BAM</i>, 18 April 1980</p>
<p class=""excerpt"">MERLE HAGGARD and his ten-piece backing band opened this new club with the kind of set most performers must only dream of. The set relied ...</p>
</div>",/Library/Article/merle-haggard-the-country-club-reseda-ca,"The Country Club, Reseda CA",Mark Leviton,BAM,Live Review,18 April 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/various-artists--marlboro-country-festival-wembley-arena-london"">Commander Cody, Phil Everly, Emmylou Harris, Bellamy Brothers, The, Joe Sun: Various artists — Marlboro Country Festival: Wembley Arena, London</a></p>
<p>Live Review by Fred Dellar, <i>New Musical Express</i>, 19 April 1980</p>
<p class=""excerpt"">MONDAY AT Wembley. Contemporary country night, give or take a few lower-order stetson-tilters. ...</p>
</div>",/Library/Article/various-artists--marlboro-country-festival-wembley-arena-london,"Various artists — Marlboro Country Festival: Wembley Arena, London",Fred Dellar,New Musical Express,Live Review,19 April 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/emmylou-harris-buys-back-the-farm"">Emmylou Harris Buys Back the Farm</a></p>
<p>Interview by Steven X Rea, <i>High Fidelity</i>, August 1980</p>
<p class=""excerpt"">A GIANT cement mixer blocks the road, halfway up the snaking cul-de-sac that ends at Emmylou Harris' rented ranch house. Nestled in a leveled out ...</p>
</div>",/Library/Article/emmylou-harris-buys-back-the-farm,Emmylou Harris Buys Back the Farm,Steven X Rea,High Fidelity,Interview,August 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/bobby-bares-down-and-dirty-country"">Bobby Bare's Down and Dirty Country</a></p>
<p>Profile and Interview by John Morthland, <i>Rolling Stone</i>, 7 August 1980</p>
<p class=""excerpt"">The singer's most recent album bucks the pop-crossover trend ...</p>
</div>",/Library/Article/bobby-bares-down-and-dirty-country,Bobby Bare's Down and Dirty Country,John Morthland,Rolling Stone,Profile and Interview,7 August 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/rodney-crowell-a-songwriter-surfaces"">Rodney Crowell: A Songwriter Surfaces</a></p>
<p>Profile and Interview by Fred Schruers, <i>Rolling Stone</i>, 21 August 1980</p>
<p class=""excerpt"">'Ashes by Now': his first hit ...</p>
</div>",/Library/Article/rodney-crowell-a-songwriter-surfaces,A Songwriter Surfaces,Fred Schruers,Rolling Stone,Profile and Interview,21 August 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/carlene-carter-imusical-shapesi-warner-bros"">Carlene Carter: <i>Musical Shapes</i> (Warner Bros.)</a></p>
<p>Review by Fred Schruers, <i>Rolling Stone</i>, 13 November 1980</p>
<p class=""excerpt"">IT'S ALWAYS embarrassed Englishmen like Mick Jagger and Eric Clapton that they got rich by showing Americans how palatable their native R&amp;B and blues were. ...</p>
</div>",/Library/Article/carlene-carter-imusical-shapesi-warner-bros,Musical Shapes (Warner Bros.),Fred Schruers,Rolling Stone,Review,13 November 1980
"<div class=""article-listing"">
<p><a href=""/Library/Article/carlene-carter"">Carlene Carter, Nick Lowe: Carlene Carter</a></p>
<p>Interview by Jon Young, <i>Trouser Press</i>, January 1981</p>
<p class=""excerpt"">SONNY AND CHER. Ike and Tina. Steve and Eydie. The roll call of illustrious show business couples could go on and on. Now you can ...</p>
</div>",/Library/Article/carlene-carter,Carlene Carter,Jon Young,Trouser Press,Interview,January 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/crystal-gayle-apollo-victoria-london"">Crystal Gayle: Apollo, Victoria, London</a></p>
<p>Live Review by Richard Williams, <i>The Times</i>, 6 March 1981</p>
<p class=""excerpt"">EVER SENSITIVE to shifting tastes, and spurred on by furious competition for the advertising dollar, American pop radio stations change their formats with disconcerting frequency. ...</p>
</div>",/Library/Article/crystal-gayle-apollo-victoria-london,"Apollo, Victoria, London",Richard Williams,The Times,Live Review,6 March 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/joe-ely-bottom-line-new-york-ny"">Joe Ely: Bottom Line, New York NY</a></p>
<p>Live Review by Fred Schruers, <i>Musician</i>, August 1981</p>
<p class=""excerpt"">SINCE HIS recent notices have offered us a new-and-improved Joe Ely, I have to begin by swearing on a stack of ticket stubs: I've been ...</p>
</div>",/Library/Article/joe-ely-bottom-line-new-york-ny,"Bottom Line, New York NY",Fred Schruers,Musician,Live Review,August 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/joe-ely-you-can-take-the-boy-out-of-texas"">Joe Ely: You Can Take The Boy Out Of Texas...</a></p>
<p>Interview by Jon Young, <i>Trouser Press</i>, September 1981</p>
<p class=""excerpt"">IT DOESN'T take a genius to figure out that country music is in pretty sorry shape these days. There's something wrong when unbearably bland hacks ...</p>
</div>",/Library/Article/joe-ely-you-can-take-the-boy-out-of-texas,You Can Take The Boy Out Of Texas...,Jon Young,Trouser Press,Interview,September 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/chet-flippo-iyour-cheatin-heart--a-biography-of-hank-williamsi-simon-and-schuster"">Hank Williams: Chet Flippo: <i>Your Cheatin' Heart — A Biography Of Hank Williams</i> (Simon and Schuster)</a></p>
<p>Book Review by Susan Whitall, <i>Creem</i>, September 1981</p>
<p class=""excerpt"">ROSANNE CASH, Johnny's first-born and as I write, No. 1 on the country charts, was quoted in Esquire: ""A lot has happened in country music ...</p>
</div>",/Library/Article/chet-flippo-iyour-cheatin-heart--a-biography-of-hank-williamsi-simon-and-schuster,Chet Flippo: Your Cheatin' Heart — A Biography Of Hank Williams (Simon and Schuster),Susan Whitall,Creem,Book Review,September 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/tom-petty--the-heartbreakers-joe-ely-the-garden-boston-ma"">Joe Ely, Tom Petty &amp; The Heartbreakers: Tom Petty &amp; the Heartbreakers, Joe Ely: The Garden, Boston MA</a></p>
<p>Live Review by Julie  Panebianco, <i>Boston Rock</i>, 3 September 1981</p>
<p class=""excerpt"">THERE IS always a part in a Tom Petty song when he knows he's got you, when he zeroes in and touches you. Like the ...</p>
</div>",/Library/Article/tom-petty--the-heartbreakers-joe-ely-the-garden-boston-ma,"Tom Petty & the Heartbreakers, Joe Ely: The Garden, Boston MA",Julie  Panebianco,Boston Rock,Live Review,3 September 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/country-boogie-honky-tonks-hoedowns-and-the-roots-of-rock"">Country Boogie: Honky Tonks, Hoedowns And The Roots Of Rock</a></p>
<p>Overview by Martin Hawkins, <i>The History of Rock</i>, October 1981</p>
<p class=""excerpt"">IF RHYTHM AND BLUES was a major constituent of rock'n'roll, so too was the influence of country music in the form of country-boogie. Country-boogie was ...</p>
</div>",/Library/Article/country-boogie-honky-tonks-hoedowns-and-the-roots-of-rock,"Honky Tonks, Hoedowns And The Roots Of Rock",Martin Hawkins,The History of Rock,Overview,October 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/rodney-crowell-countrys-new-laureate"">Rodney Crowell, Emmylou Harris: Rodney Crowell: Country's New Laureate?</a></p>
<p>Profile and Interview by Todd Everett, <i>L.A. Weekly</i>, 1 October 1981</p>
<p class=""excerpt""> 
""I EXPECTED him to be more of a household word than he is now,"" admits Emmylou Harris, echoing the opinion of some of the world's ...</p>
</div>",/Library/Article/rodney-crowell-countrys-new-laureate,Rodney Crowell: Country's New Laureate?,Todd Everett,L.A. Weekly,Profile and Interview,1 October 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/carlene-carter-iblue-nuni-f-beat-xxlp12"">Carlene Carter: <i>Blue Nun</i> (F-Beat XXLP12).</a></p>
<p>Review by Mark Cooper, <i>Record Mirror</i>, 3 October 1981</p>
<p class=""excerpt"">WHEN IT comes to being blue, Carlene's a natural, a belle of the ball with a ballbreaker's wit. Carlene looks like an angel but underneath ...</p>
</div>",/Library/Article/carlene-carter-iblue-nuni-f-beat-xxlp12,Blue Nun (F-Beat XXLP12).,Mark Cooper,Record Mirror,Review,3 October 1981
"<div class=""article-listing"">
<p><a href=""/Library/Article/elvis-costello-ialmost-bluei-columbia-fc37562"">Elvis Costello: <i>Almost Blue</i> (Columbia FC37562)</a></p>
<p>Review by Jon Young, <i>Trouser Press</i>, February 1982</p>
<p class=""excerpt"">WHY SHOULDN'T Elvis Costello make a country album? An accomplished dilettante, he's previously drawn from such diverse sources as Tin Pan Alley ('My Funny Valentine') ...</p>
</div>",/Library/Article/elvis-costello-ialmost-bluei-columbia-fc37562,Almost Blue (Columbia FC37562),Jon Young,Trouser Press,Review,February 1982
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelson-hammersmith-odeon-london"">Willie Nelson: Hammersmith Odeon, London</a></p>
<p>Live Review by Mick Brown, <i>The Guardian</i>, 9 June 1982</p>
<p class=""excerpt"">IT IS TRUE what they say about things being bigger in Texas. You could wrap up a jumbo jet in the flag of the Lone ...</p>
</div>",/Library/Article/willie-nelson-hammersmith-odeon-london,"Hammersmith Odeon, London",Mick Brown,The Guardian,Live Review,9 June 1982
